"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.54547003452198,0.924,0.752,0,"0","EEF1B2"
0,1.42832871585734,0.913,0.744,0,"0","EEF1G"
0,1.60983261355885,0.961,0.796,0,"0","RPS5"
0,1.50934486524443,0.956,0.795,0,"0","RPSA"
0,1.27587009631119,0.947,0.79,0,"0","RPL10A"
0,1.13854093026102,0.897,0.756,0,"0","RPS11"
0,1.11794159464919,0.967,0.834,0,"0","RPL15"
0,1.0321723727273,0.875,0.743,0,"0","RPL27"
0,1.11571766288968,0.96,0.83,0,"0","RPL23A"
0,1.21443775520717,0.938,0.812,0,"0","RPL13A"
0,0.97459083914402,0.938,0.815,0,"0","RPL22"
0,1.04563124005792,0.96,0.837,0,"0","RPL5"
0,0.870932243970413,0.903,0.783,0,"0","UBA52"
0,0.929794471006023,0.944,0.825,0,"0","RPL37A"
0,1.09222145329504,0.951,0.833,0,"0","RACK1"
0,1.018035907692,0.945,0.83,0,"0","RPL17"
0,1.1734545086164,0.971,0.859,0,"0","RPS25"
0,0.928099193075334,0.884,0.774,0,"0","RPL4"
0,1.19813676647975,0.973,0.864,0,"0","RPL29"
0,0.891391440021649,0.972,0.863,0,"0","RPL35A"
0,1.02541738385387,0.956,0.847,0,"0","RPS9"
0,0.968932103278193,0.92,0.813,0,"0","RPL9"
0,1.23487316543422,0.979,0.873,0,"0","RPS6"
0,1.03689624598526,0.972,0.866,0,"0","RPS13"
0,0.830237062160486,0.921,0.818,0,"0","RPL35"
0,0.814946696235,0.97,0.867,0,"0","RPL14"
0,0.92857948549301,0.971,0.868,0,"0","RPLP0"
0,1.08599491581707,0.975,0.873,0,"0","RPL3"
0,1.01804314376104,0.977,0.875,0,"0","RPS4X"
0,0.77653822534913,0.931,0.83,0,"0","RPL24"
0,0.974990850949441,0.972,0.871,0,"0","RPL26"
0,0.714016577240577,0.923,0.823,0,"0","NACA"
0,1.20388195837335,0.981,0.881,0,"0","RPL8"
0,1.43701615143473,0.987,0.887,0,"0","RPL18A"
0,1.18802194835277,0.987,0.889,0,"0","RPS3A"
0,1.22033258746326,0.978,0.88,0,"0","RPL12"
0,0.929666478947355,0.974,0.876,0,"0","FAU"
0,0.908367952220719,0.903,0.806,0,"0","RPL21"
0,0.96163950923147,0.89,0.794,0,"0","EEF2"
0,0.838805904074904,0.94,0.844,0,"0","RPS16"
0,1.21531565070251,0.98,0.884,0,"0","RPL18"
0,1.02998769155124,0.983,0.888,0,"0","RPL7A"
0,0.967753091989096,0.983,0.888,0,"0","RPS3"
0,0.887900975824238,0.948,0.853,0,"0","RPL36"
0,1.00573908024164,0.976,0.882,0,"0","RPLP2"
0,0.96515795320445,0.984,0.891,0,"0","RPL37"
0,0.997789012673366,0.983,0.89,0,"0","RPL39"
0,0.899850209499937,0.926,0.835,0,"0","RPS2"
0,0.803229472290708,0.957,0.866,0,"0","RPS7"
0,0.960358723290214,0.983,0.892,0,"0","RPS15"
0,0.725086702373377,0.898,0.808,0,"0","RPL36A"
0,1.11385947741391,0.987,0.898,0,"0","RPL30"
0,0.684977927453683,0.962,0.873,0,"0","RPL6"
0,1.34609218999941,0.986,0.898,0,"0","RPS23"
0,0.884034559423122,0.98,0.892,0,"0","RPS14"
0,1.02071807566693,0.987,0.9,0,"0","RPS27A"
0,1.34209299984067,0.985,0.898,0,"0","RPS18"
0,0.930248306445059,0.966,0.881,0,"0","RPS21"
0,0.944424996450795,0.982,0.899,0,"0","RPS15A"
0,0.949271072390433,0.988,0.906,0,"0","RPL34"
0,1.1700727254517,0.99,0.909,0,"0","RPL32"
0,1.05352277937883,0.99,0.91,0,"0","RPS12"
0,1.13857993529789,0.989,0.909,0,"0","RPL19"
0,0.826495172620913,0.986,0.907,0,"0","RPS28"
0,0.890928381447932,0.987,0.908,0,"0","RPS19"
0,1.10615796770723,0.996,0.918,0,"0","RPS27"
0,1.10122311619485,0.991,0.917,0,"0","RPL11"
0,1.23744946106037,0.992,0.918,0,"0","RPS8"
0,1.02342199346625,0.991,0.926,0,"0","RPL28"
0,1.13735662183525,0.991,0.933,0,"0","RPL13"
0,0.978607799099645,0.997,0.946,0,"0","RPL10"
0,0.887151951898933,0.994,0.95,0,"0","RPLP1"
0,1.07659775911067,0.998,0.968,0,"0","EEF1A1"
3.95252516672997e-323,0.888029055284793,0.843,0.721,1.44666373627484e-318,"0","RPL7"
2.30432217220357e-320,0.718250146560452,0.9,0.829,8.4340495824823e-316,"0","RPS29"
2.18154798867079e-311,1.77685562185306,0.322,0.107,7.98468379333397e-307,"0","AC025164.1"
2.78424088277542e-310,1.15649476974983,0.687,0.457,1.01906000550463e-305,"0","SP100"
2.47497186410928e-303,1.83335309236838,0.294,0.092,9.05864451982637e-299,"0","BCAS4"
1.60262544332299e-290,1.55237048346863,0.351,0.133,5.86576938510646e-286,"0","POU2AF1"
1.00022550680361e-287,1.63907788332216,0.438,0.202,3.6609253774519e-283,"0","SYPL1"
5.02840221227791e-281,1.44861578583966,0.319,0.111,1.84044549371584e-276,"0","CIITA"
3.6919308537555e-280,0.628998830536888,0.9,0.834,1.35128361178305e-275,"0","PABPC1"
1.78568725166624e-276,1.46222513317872,0.494,0.254,6.5357939098236e-272,"0","IL16"
3.04112029940653e-276,1.73121978848196,0.321,0.118,1.11308044078578e-271,"0","TMEM154"
7.47855633315093e-275,1.02357741201642,0.623,0.369,2.73722640349657e-270,"0","RHOH"
