"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MS4A1",0,3.75204616256003,0.85,0.084,0,"0","MS4A1"
"CD79A",0,3.58993076306048,0.923,0.177,0,"0","CD79A"
"BANK1",0,2.42886192302564,0.789,0.093,0,"0","BANK1"
"HLA-DRA",0,1.94495899450345,0.99,0.426,0,"0","HLA-DRA"
"AFF3",0,1.46020662007596,0.731,0.17,0,"0","AFF3"
"LINC00926",0,3.80593873781156,0.602,0.049,0,"0","LINC00926"
"HLA-DQB1",0,1.80040547322632,0.831,0.283,0,"0","HLA-DQB1"
"FCER2",0,4.48385741693582,0.538,0.038,0,"0","FCER2"
"BLK",0,2.65319634116851,0.582,0.082,0,"0","BLK"
"HLA-DQA1",0,1.81958711264647,0.902,0.403,0,"0","HLA-DQA1"
"LTB",0,1.93116384442889,0.733,0.235,0,"0","LTB"
"CD19",0,3.93472996416522,0.558,0.063,0,"0","CD19"
"HLA-DPB1",0,1.57826325171757,0.941,0.448,0,"0","HLA-DPB1"
"CD83",0,1.81604901470085,0.755,0.267,0,"0","CD83"
"CD79B",0,3.82334924409154,0.579,0.095,0,"0","CD79B"
"HLA-DPA1",0,1.56637363890866,0.944,0.474,0,"0","HLA-DPA1"
"FCMR",0,2.36080617420706,0.665,0.205,0,"0","FCMR"
"SELL",0,2.49806655575859,0.604,0.144,0,"0","SELL"
"HLA-DRB1",0,1.46393068286746,0.951,0.498,0,"0","HLA-DRB1"
"FCRL1",0,2.82156471934652,0.496,0.052,0,"0","FCRL1"
"ARHGAP24",0,1.62400415215122,0.609,0.168,0,"0","ARHGAP24"
"VPREB3",0,4.59548151369225,0.462,0.027,0,"0","VPREB3"
"IRF8",0,2.4406606930482,0.561,0.128,0,"0","IRF8"
"RALGPS2",0,1.86353833315983,0.603,0.173,0,"0","RALGPS2"
"HLA-DMA",0,1.60921297093604,0.721,0.293,0,"0","HLA-DMA"
"RCSD1",0,2.16424857579035,0.778,0.355,0,"0","RCSD1"
"LYN",0,1.30265625969991,0.686,0.263,0,"0","LYN"
"ADAM28",0,2.31826168367315,0.546,0.13,0,"0","ADAM28"
"CD37",0,2.56179956102327,0.962,0.547,0,"0","CD37"
"NIBAN3",0,3.20132317178013,0.457,0.044,0,"0","NIBAN3"
"CD52",0,1.49881297745248,0.923,0.528,0,"0","CD52"
"FCRLA",0,4.35884748317194,0.432,0.037,0,"0","FCRLA"
"CD22",0,2.86749812918598,0.452,0.058,0,"0","CD22"
"HLA-DRB5",0,1.17825414296531,0.716,0.323,0,"0","HLA-DRB5"
"MEF2C",0,1.69669249071144,0.711,0.322,0,"0","MEF2C"
"LINC02397",0,3.54602614516595,0.415,0.034,0,"0","LINC02397"
"NCF1",0,2.09970061227786,0.662,0.282,0,"0","NCF1"
"BACH2",0,0.657072268704517,0.614,0.236,0,"0","BACH2"
"LAPTM5",0,1.84564976886345,0.936,0.559,0,"0","LAPTM5"
"PTPRCAP",0,1.11870272763177,0.792,0.422,0,"0","PTPRCAP"
"SNX2",0,2.12698318126141,0.614,0.245,0,"0","SNX2"
"TCL1A",0,4.61027866608245,0.388,0.021,0,"0","TCL1A"
"HVCN1",0,3.00777485126707,0.46,0.094,0,"0","HVCN1"
"MARCH1",0,1.79064474183459,0.509,0.146,0,"0","MARCH1"
"PAX5",0,2.31939571514233,0.409,0.051,0,"0","PAX5"
"GNG7",0,1.29377994562479,0.572,0.218,0,"0","GNG7"
"PLEKHG1",0,1.63698229332749,0.459,0.106,0,"0","PLEKHG1"
"HLA-DMB",0,1.94077724205138,0.498,0.149,0,"0","HLA-DMB"
"SWAP70",0,2.0764074712231,0.483,0.14,0,"0","SWAP70"
"CXCR4",0,0.983623167020478,0.873,0.531,0,"0","CXCR4"
"TNFRSF13C",0,3.26910999469129,0.385,0.048,0,"0","TNFRSF13C"
"IGHD",0,3.4083968862728,0.366,0.031,0,"0","IGHD"
"HLA-DOB",0,3.67996099979841,0.392,0.06,0,"0","HLA-DOB"
"SMIM14",0,2.5322682053179,0.484,0.153,0,"0","SMIM14"
"CCR7",0,1.9604492713448,0.428,0.097,0,"0","CCR7"
"RUBCNL",0,2.34856916660068,0.399,0.071,0,"0","RUBCNL"
"LIMD2",0,1.44581954797852,0.759,0.431,0,"0","LIMD2"
"SPIB",0,3.71420986519829,0.358,0.033,0,"0","SPIB"
"MGAT5",0,0.769145769727122,0.526,0.204,0,"0","MGAT5"
"P2RX5",0,2.69108586718505,0.398,0.078,0,"0","P2RX5"
"CXCR5",0,3.75755035231698,0.34,0.026,0,"0","CXCR5"
"ST6GAL1",0,1.28789684780838,0.585,0.274,0,"0","ST6GAL1"
"BCL11A",0,2.03297040766888,0.371,0.061,0,"0","BCL11A"
"CD24",0,4.47687629949489,0.319,0.015,0,"0","CD24"
"AC119396.1",0,2.26004848953951,0.38,0.079,0,"0","AC119396.1"
"CD40",0,2.59859201968352,0.404,0.104,0,"0","CD40"
"SYNGR2",0,1.92247503756192,0.69,0.394,0,"0","SYNGR2"
"CD72",0,3.09036868643565,0.361,0.066,0,"0","CD72"
"LY86",0,2.0594433354993,0.405,0.117,0,"0","LY86"
"LY9",0,1.78025979456649,0.486,0.203,0,"0","LY9"
"EBF1",0,0.821636939835492,0.449,0.167,0,"0","EBF1"
"BLNK",0,2.46439273267831,0.38,0.1,0,"0","BLNK"
"AC004448.2",0,2.68695309697261,0.404,0.127,0,"0","AC004448.2"
"TMEM243",0,1.64681458169294,0.532,0.259,0,"0","TMEM243"
"WDFY4",0,1.60791463259102,0.363,0.094,0,"0","WDFY4"
"HLA-DOA",0,2.72336483919344,0.327,0.064,0,"0","HLA-DOA"
"PARP15",0,1.69458483712931,0.367,0.105,0,"0","PARP15"
"PTPN6",0,1.58893688458871,0.524,0.262,0,"0","PTPN6"
"POU2F2",0,1.63677700304097,0.442,0.185,0,"0","POU2F2"
"LINC01857",0,5.40572384288762,0.269,0.013,0,"0","LINC01857"
"COL19A1",0,2.04988223033761,0.29,0.039,0,"0","COL19A1"
"BTK",0,2.70157890600044,0.325,0.081,0,"0","BTK"
"CD82",0,1.7894114357353,0.387,0.146,0,"0","CD82"
"SP100",0,1.18516139879901,0.693,0.455,0,"0","SP100"
"LAT2",0,1.97990975070507,0.345,0.113,0,"0","LAT2"
"PKIG",0,2.06003493292527,0.33,0.1,0,"0","PKIG"
"CYB561A3",0,2.32036350682742,0.328,0.1,0,"0","CYB561A3"
"TXNIP",0,1.14649506468064,0.884,0.657,0,"0","TXNIP"
"CR2",0,3.42919021618291,0.251,0.026,0,"0","CR2"
"AC025164.1",0,1.80909919980312,0.326,0.105,0,"0","AC025164.1"
"AC120193.1",0,2.08431917891786,0.273,0.053,0,"0","AC120193.1"
"STAP1",0,2.17423685156042,0.278,0.062,0,"0","STAP1"
"CD74",0,2.22012968674518,0.999,0.802,0,"0","CD74"
"TSPAN13",0,2.74929414385303,0.252,0.058,0,"0","TSPAN13"
"APOO",0,1.35755544938572,0.827,0.635,0,"0","APOO"
"BTG1",0,1.21577295105664,0.95,0.769,0,"0","BTG1"
"EEF1B2",0,1.54043303978207,0.924,0.751,0,"0","EEF1B2"
"EEF1G",0,1.42609736885347,0.913,0.743,0,"0","EEF1G"
"RPS5",0,1.6067118492582,0.962,0.795,0,"0","RPS5"
"RPSA",0,1.51100100451279,0.956,0.794,0,"0","RPSA"
"RPL10A",0,1.26941490073187,0.947,0.79,0,"0","RPL10A"
"RPS11",0,1.13971882961008,0.898,0.755,0,"0","RPS11"
"RPL15",0,1.11109740877324,0.966,0.834,0,"0","RPL15"
"RPL23A",0,1.10996549926341,0.961,0.829,0,"0","RPL23A"
"RPL27",0,1.0194594249168,0.873,0.742,0,"0","RPL27"
"RPL5",0,1.0399014173065,0.962,0.836,0,"0","RPL5"
"RPL13A",0,1.21801223961928,0.937,0.811,0,"0","RPL13A"
"RPL7",0,0.885953211284099,0.844,0.721,0,"0","RPL7"
"RPL22",0,0.966342481721286,0.935,0.814,0,"0","RPL22"
"UBA52",0,0.862232200597167,0.903,0.783,0,"0","UBA52"
"RACK1",0,1.08801623240306,0.951,0.833,0,"0","RACK1"
"RPL37A",0,0.928232261058261,0.942,0.825,0,"0","RPL37A"
"RPL17",0,1.01117513268824,0.944,0.83,0,"0","RPL17"
"RPS25",0,1.16506210494434,0.971,0.859,0,"0","RPS25"
"RPL4",0,0.923345340104136,0.885,0.773,0,"0","RPL4"
"RPS9",0,1.02199626417017,0.957,0.846,0,"0","RPS9"
"RPL35A",0,0.885924538113788,0.971,0.862,0,"0","RPL35A"
"RPL29",0,1.19152090310611,0.972,0.864,0,"0","RPL29"
"RPL9",0,0.959563628181062,0.919,0.812,0,"0","RPL9"
"RPS6",0,1.22773607409622,0.979,0.872,0,"0","RPS6"
"RPS13",0,1.0321393753875,0.972,0.865,0,"0","RPS13"
"RPL35",0,0.831355653779397,0.923,0.817,0,"0","RPL35"
"RPLP0",0,0.929876460543098,0.972,0.867,0,"0","RPLP0"
"RPL14",0,0.804435224128302,0.97,0.867,0,"0","RPL14"
"RPL26",0,0.966641523639911,0.973,0.87,0,"0","RPL26"
"RPL18A",0,1.43439688933964,0.988,0.886,0,"0","RPL18A"
"RPL3",0,1.07902232333378,0.975,0.873,0,"0","RPL3"
"RPS4X",0,1.00800959581823,0.977,0.875,0,"0","RPS4X"
"RPL24",0,0.766352983928199,0.931,0.83,0,"0","RPL24"
"RPL8",0,1.20298848468516,0.981,0.881,0,"0","RPL8"
"NACA",0,0.707029133024826,0.922,0.823,0,"0","NACA"
"RPS3A",0,1.18394762856669,0.987,0.888,0,"0","RPS3A"
"RPL12",0,1.21705179914489,0.978,0.88,0,"0","RPL12"
"RPL21",0,0.90517663701416,0.904,0.806,0,"0","RPL21"
"EEF2",0,0.954954107784345,0.891,0.793,0,"0","EEF2"
"RPS16",0,0.83155998934237,0.941,0.843,0,"0","RPS16"
"RPL18",0,1.21539785682827,0.98,0.883,0,"0","RPL18"
"FAU",0,0.925578537828609,0.972,0.876,0,"0","FAU"
"RPL36",0,0.887588755871904,0.948,0.852,0,"0","RPL36"
"RPL37",0,0.966447019848803,0.985,0.89,0,"0","RPL37"
"RPL7A",0,1.02146629555405,0.982,0.887,0,"0","RPL7A"
"RPLP2",0,1.00053549932044,0.976,0.881,0,"0","RPLP2"
"RPS3",0,0.961586897076828,0.983,0.888,0,"0","RPS3"
"RPL39",0,0.994306521904262,0.984,0.89,0,"0","RPL39"
"RPS7",0,0.798124467988968,0.958,0.865,0,"0","RPS7"
"RPS2",0,0.902356248372711,0.926,0.834,0,"0","RPS2"
"RPS15",0,0.956382066819832,0.983,0.891,0,"0","RPS15"
"RPL36A",0,0.717959768042066,0.898,0.807,0,"0","RPL36A"
"RPL30",0,1.10837224227431,0.987,0.897,0,"0","RPL30"
"RPS27A",0,1.01537439084625,0.989,0.9,0,"0","RPS27A"
"RPS23",0,1.34346357061762,0.987,0.898,0,"0","RPS23"
"RPL6",0,0.676211288598636,0.962,0.873,0,"0","RPL6"
"RPS14",0,0.874157908071876,0.98,0.892,0,"0","RPS14"
"RPS18",0,1.33609092970443,0.985,0.898,0,"0","RPS18"
"RPS21",0,0.930048319316698,0.966,0.88,0,"0","RPS21"
"RPS15A",0,0.933353467233991,0.983,0.898,0,"0","RPS15A"
"RPL19",0,1.13548952991538,0.991,0.908,0,"0","RPL19"
"RPL34",0,0.94773993445016,0.988,0.906,0,"0","RPL34"
"RPS12",0,1.04497403753528,0.99,0.909,0,"0","RPS12"
"RPS19",0,0.891029522459471,0.988,0.907,0,"0","RPS19"
"RPL32",0,1.16301547181041,0.989,0.909,0,"0","RPL32"
"RPS28",0,0.826436111494714,0.987,0.907,0,"0","RPS28"
"RPS27",0,1.10354006910039,0.996,0.918,0,"0","RPS27"
"RPL11",0,1.09838553092242,0.992,0.917,0,"0","RPL11"
"RPS29",0,0.71919493751541,0.902,0.828,0,"0","RPS29"
"RPS8",0,1.23879733364635,0.992,0.918,0,"0","RPS8"
"RPL28",0,1.02158814548414,0.99,0.926,0,"0","RPL28"
"RPL13",0,1.13080068184699,0.992,0.932,0,"0","RPL13"
"RPL10",0,0.968963096596913,0.996,0.946,0,"0","RPL10"
"RPLP1",0,0.875685757926334,0.995,0.95,0,"0","RPLP1"
"EEF1A1",0,1.06418421438447,0.999,0.968,0,"0","EEF1A1"
"BCAS4",3.25322465160627e-319,1.86639960487257,0.295,0.091,1.19071275473441e-314,"0","BCAS4"
"CIITA",1.69954036765447e-317,1.54358195656143,0.326,0.109,6.22048769965213e-313,"0","CIITA"
"RHOH",1.82233544327185e-317,1.09362067573977,0.634,0.365,6.66992995591931e-313,"0","RHOH"
"POU2AF1",2.97700874918861e-307,1.56893132581685,0.352,0.132,1.08961497229052e-302,"0","POU2AF1"
"CD69",1.82598245468261e-300,0.942936179627496,0.754,0.454,6.68327838238383e-296,"0","CD69"
"TMEM154",1.42759290288587e-298,1.77076117518041,0.324,0.116,5.22513278385258e-294,"0","TMEM154"
"SYPL1",4.71434850586545e-298,1.63983929186591,0.438,0.201,1.72549869663181e-293,"0","SYPL1"
"IL16",5.96826237832151e-298,1.48493669160842,0.498,0.252,2.18444371308946e-293,"0","IL16"
"FGD2",9.62159736315551e-292,1.81951703093744,0.283,0.092,3.52160085088855e-287,"0","FGD2"
"PABPC1",2.04645658903292e-286,0.626320953579593,0.901,0.833,7.49023576151941e-282,"0","PABPC1"
"IFT57",3.68343492212645e-274,2.03573843477728,0.355,0.15,1.3481740158475e-269,"0","IFT57"
"TLE1",5.0212296696153e-273,1.67090862312529,0.324,0.122,1.8378202713759e-268,"0","TLE1"
"RPL38",6.20115488788107e-273,0.724029578376779,0.851,0.758,2.26968470051335e-268,"0","RPL38"
"POLD4",1.1310659236593e-270,1.45633215214769,0.572,0.376,4.13981438718541e-266,"0","POLD4"
"NOP53",8.18423767942029e-266,1.03057166310852,0.731,0.59,2.99551283304462e-261,"0","NOP53"
"DRAM2",1.31023675684386e-264,1.86003893713234,0.344,0.144,4.79559755372422e-260,"0","DRAM2"
"EEF1D",8.37012165426044e-264,0.6392379253786,0.892,0.817,3.06354822667586e-259,"0","EEF1D"
"ORAI2",3.99643664533373e-261,2.00469312466432,0.304,0.116,1.4627357765586e-256,"0","ORAI2"
"CHPT1",1.07497769017116e-260,1.69402657336813,0.276,0.094,3.93452584379546e-256,"0","CHPT1"
"PLAC8",1.99240973278409e-260,1.52854088244205,0.333,0.127,7.29241886296304e-256,"0","PLAC8"
"SYK",9.59531362250852e-258,1.41033238704023,0.423,0.201,3.51198073897434e-253,"0","SYK"
"MT-CO3",1.16904532465697e-257,0.426526698046104,0.997,0.987,4.27882279277696e-253,"0","MT-CO3"
"ALOX5",4.89055321185294e-255,1.61155348052911,0.336,0.137,1.78999138107029e-250,"0","ALOX5"
"GGA2",1.81286345527431e-252,1.42585108842496,0.396,0.18,6.6352615326495e-248,"0","GGA2"
"GAS5",2.51270168050589e-250,1.25609385869463,0.616,0.42,9.19673942081961e-246,"0","GAS5"
"RPL31",1.51132820796559e-249,0.771883092965473,0.831,0.735,5.53161237397486e-245,"0","RPL31"
"STEAP1B",5.12959123947244e-249,1.3169829536455,0.401,0.192,1.87748168955931e-244,"0","STEAP1B"
"SP140",2.85018169918437e-247,1.16095842557037,0.475,0.241,1.04319500371847e-242,"0","SP140"
"SP110",3.47043121378676e-245,1.31706340079766,0.479,0.253,1.27021252855809e-240,"0","SP110"
"EZR",3.96081493315792e-242,0.801772104699112,0.751,0.559,1.44969787368513e-237,"0","EZR"
"ACP5",6.74578265648247e-238,1.78320542348979,0.298,0.117,2.46902391009915e-233,"0","ACP5"
"UCP2",1.0132995560503e-233,1.05497311183545,0.615,0.39,3.7087777050997e-229,"0","UCP2"
"STX7",6.27551299561551e-230,1.5128621233534,0.377,0.178,2.29690051152523e-225,"0","STX7"
"REL",3.04747833497248e-227,1.00171922989374,0.615,0.385,1.11540754538328e-222,"0","REL"
"RPS20",5.8922641626862e-225,1.01718459131996,0.715,0.585,2.15662760618478e-220,"0","RPS20"
"RPS24",6.01572522772359e-224,0.49383523392141,0.969,0.888,2.20181559059911e-219,"0","RPS24"
"TMEM156",1.73900598702378e-222,1.32716479050476,0.332,0.141,6.36493581310574e-218,"0","TMEM156"
"ZFAS1",3.3935453840685e-221,0.941634618037136,0.698,0.536,1.24207154602291e-216,"0","ZFAS1"
"ARPC3",6.0754632879694e-221,0.746387507896014,0.798,0.66,2.22368031802968e-216,"0","ARPC3"
"PFDN5",2.61620469129697e-220,0.678231437540158,0.864,0.769,9.57557079061603e-216,"0","PFDN5"
"RPL41",3.93599095533549e-220,0.530259566843806,0.931,0.876,1.44061204956234e-215,"0","RPL41"
"MT-CO2",1.96985927106432e-217,0.360741139823323,0.999,0.992,7.20988191802252e-213,"0","MT-CO2"
"NPM1",7.10159709496194e-217,0.747947388429215,0.806,0.687,2.59925555272702e-212,"0","NPM1"
"STRBP",5.09462734842756e-211,1.42953423180989,0.261,0.097,1.86468455579797e-206,"0","STRBP"
"TPD52",6.03783674490191e-210,1.21740946398716,0.409,0.209,2.20990862700155e-205,"0","TPD52"
"RIPOR2",1.16214129800905e-209,0.721001373927163,0.538,0.297,4.25355336484292e-205,"0","RIPOR2"
"BIRC3",2.84071271550693e-208,1.13009939099705,0.479,0.267,1.03972926100269e-203,"0","BIRC3"
"CYBB",7.10515641794378e-208,1.10159947013194,0.348,0.148,2.6005583005316e-203,"0","CYBB"
"MT-ND4L",3.50586676414167e-205,0.419657742413611,0.991,0.971,1.28318229434349e-200,"0","MT-ND4L"
"PLCG2",2.60418192191144e-198,0.90692749096691,0.42,0.22,9.53156625238805e-194,"0","PLCG2"
"SSH2",2.65392386830612e-195,0.647204904148846,0.62,0.403,9.71362675038724e-191,"0","SSH2"
"SESN3",3.69328125536042e-194,0.804630657821406,0.315,0.131,1.35177787227447e-189,"0","SESN3"
"FCGR2B",6.39377714038345e-192,1.30567587858571,0.257,0.1,2.34018637115175e-187,"0","FCGR2B"
"PTMA",3.34347072902227e-191,0.442335819066788,0.961,0.908,1.22374372152944e-186,"0","PTMA"
"RBFOX2",3.98078890162208e-190,0.622189097311747,0.868,0.81,1.4570085458827e-185,"0","RBFOX2"
"PPM1K",1.03101015127618e-189,1.49069195799604,0.348,0.168,3.77360025468594e-185,"0","PPM1K"
"AP1B1",1.46103915111344e-187,1.43425636749645,0.348,0.169,5.34754939699032e-183,"0","AP1B1"
"CCSER1",3.00791548314369e-187,1.07395660629555,0.251,0.096,1.10092714598542e-182,"0","CCSER1"
"RAC2",1.15827933962278e-182,0.71831170352157,0.706,0.51,4.23941821095335e-178,"0","RAC2"
"HLA-E",1.51021917258432e-182,0.45760128730508,0.901,0.853,5.52755319357588e-178,"0","HLA-E"
"RASGRP2",1.93214824624793e-178,1.20187035706006,0.378,0.19,7.07185579609206e-174,"0","RASGRP2"
"ZCCHC7",2.31484554061827e-171,0.893799561544494,0.472,0.278,8.47256616321694e-167,"0","ZCCHC7"
"PRKCB",2.60522906351742e-168,0.623130099896732,0.529,0.316,9.5353988953801e-164,"0","PRKCB"
"ERP29",3.32182065138708e-167,1.03392802722313,0.618,0.478,1.21581957661418e-162,"0","ERP29"
"PRDM2",7.51295706575481e-167,0.997925463557858,0.446,0.256,2.74981741563692e-162,"0","PRDM2"
"RPL27A",2.18463924132915e-166,0.744422028473053,0.768,0.689,7.99599808718881e-162,"0","RPL27A"
"DAPP1",2.0831570320858e-165,1.52239033481252,0.258,0.111,7.62456305313724e-161,"0","DAPP1"
"ISG20",7.82492343487255e-162,0.890699630757102,0.625,0.452,2.8640002263977e-157,"0","ISG20"
"RNASET2",2.82388927148346e-161,0.895007382199411,0.569,0.389,1.03357171225566e-156,"0","RNASET2"
"TSPAN3",2.40797921369598e-160,1.44929994565812,0.372,0.212,8.81344472004866e-156,"0","TSPAN3"
"INPP5D",9.4314948699409e-159,0.752290396626519,0.475,0.273,3.45202143734707e-154,"0","INPP5D"
"EIF3F",1.84853773583824e-155,0.860790488980673,0.683,0.562,6.76583296694154e-151,"0","EIF3F"
"AC138123.1",1.01874408027953e-154,0.939341739812323,0.631,0.513,3.72870520823112e-150,"0","AC138123.1"
"SMC6",1.88697595807153e-154,1.37817519813215,0.25,0.107,6.90652070413762e-150,"0","SMC6"
"TRAF5",3.94294296841393e-151,1.40870039172392,0.266,0.118,1.44315655586918e-146,"0","TRAF5"
"HINT1",1.2936655839372e-149,0.757194631284217,0.721,0.613,4.73494540376856e-145,"0","HINT1"
"SNX29",7.58404087615364e-149,0.832627261309745,0.42,0.241,2.77583480108099e-144,"0","SNX29"
"CALHM6",1.12733329930227e-148,1.53456011865931,0.259,0.114,4.12615260877625e-144,"0","CALHM6"
"RGS19",2.68430608401968e-147,1.27558820740778,0.358,0.195,9.82482869812045e-143,"0","RGS19"
"SLC44A2",2.43097733010049e-146,1.05626222221568,0.388,0.212,8.8976201259008e-142,"0","SLC44A2"
"EIF3E",5.32329682473076e-145,0.994067069787276,0.6,0.468,1.9483798708197e-140,"0","EIF3E"
"RPL22L1",7.45178904956578e-144,1.09605234754187,0.552,0.425,2.72742931003157e-139,"0","RPL22L1"
"SIDT1",4.49720950883186e-143,1.00206378648847,0.28,0.128,1.64602365232755e-138,"0","SIDT1"
"MARCKSL1",3.57587124337047e-142,1.27596974614181,0.312,0.16,1.30880463378603e-137,"0","MARCKSL1"
"GNB5",6.5733340584788e-142,1.20137477987785,0.259,0.117,2.40590599874383e-137,"0","GNB5"
"PIKFYVE",4.17659840239875e-141,1.17240069675965,0.271,0.126,1.52867678126197e-136,"0","PIKFYVE"
"PARP1",7.99326591771562e-141,1.21862078479089,0.4,0.242,2.92561525854309e-136,"0","PARP1"
"TRIM22",3.03931453841239e-139,1.00624390779086,0.467,0.289,1.11241951420432e-134,"0","TRIM22"
"CD53",1.13152366415768e-138,0.715895571107463,0.678,0.511,4.14148976318351e-134,"0","CD53"
"COBLL1",3.00626821416479e-138,1.08217909199793,0.266,0.125,1.10032422906645e-133,"0","COBLL1"
"STK17A",4.66018170516892e-136,0.790628629988126,0.543,0.36,1.70567310590888e-131,"0","STK17A"
"TCF4",1.13513231292155e-135,0.817636262583711,0.413,0.248,4.15469777852416e-131,"0","TCF4"
"MBD4",2.48680256248243e-135,1.45254196529101,0.292,0.151,9.10194605894196e-131,"0","MBD4"
"CD55",2.08708173518153e-133,0.728553728754952,0.605,0.435,7.63892785893791e-129,"0","CD55"
"LSM7",6.50916632234538e-132,1.09946416716547,0.539,0.415,2.38241996564163e-127,"0","LSM7"
"UVRAG",7.69893028834716e-131,0.874945095433497,0.43,0.261,2.81788547483794e-126,"0","UVRAG"
"CORO1A",3.01315963246176e-130,0.398730073136365,0.786,0.563,1.10284655707733e-125,"0","CORO1A"
"DCK",6.05347841260791e-130,1.2425911231661,0.264,0.125,2.21563363379862e-125,"0","DCK"
"BTF3",1.76960995111973e-129,0.583829018258131,0.804,0.714,6.47694938209332e-125,"0","BTF3"
"ANKRD44",1.93068001027465e-128,0.437727997849366,0.631,0.452,7.06648190560625e-124,"0","ANKRD44"
"FCHSD2",4.886012821649e-128,0.605078323383948,0.461,0.291,1.78832955285175e-123,"0","FCHSD2"
"MT-ATP8",1.37419793966123e-127,0.319203457738968,0.994,0.974,5.02970187895407e-123,"0","MT-ATP8"
"TOMM7",2.49540944614859e-127,0.624964295610628,0.771,0.692,9.13344811384846e-123,"0","TOMM7"
"ARHGAP25",5.07319098643586e-127,0.940581340133638,0.326,0.172,1.85683863294539e-122,"0","ARHGAP25"
"SASH3",8.97909010253383e-127,1.08245109726076,0.341,0.187,3.28643676842841e-122,"0","SASH3"
"TMEM131L",4.99955493570005e-126,0.428899115041442,0.413,0.233,1.82988710201558e-121,"0","TMEM131L"
"EIF3L",1.45585865335668e-125,0.906187882519634,0.595,0.47,5.32858825715079e-121,"0","EIF3L"
"SIPA1L3",1.95229453282479e-125,0.821066603949529,0.287,0.144,7.145593219592e-121,"0","SIPA1L3"
"NT5C",2.76894372426133e-124,1.15027427100384,0.369,0.222,1.01346109251689e-119,"0","NT5C"
"SNHG8",3.34388596742919e-121,0.900847845132312,0.568,0.446,1.22389570293876e-116,"0","SNHG8"
"PLPP5",4.34305229960601e-119,1.80227546589809,0.295,0.169,1.5896005721788e-114,"0","PLPP5"
"HSP90AB1",5.59928637563225e-119,0.544572920890422,0.784,0.703,2.04939480634516e-114,"0","HSP90AB1"
"PDLIM1",2.32026557126e-118,0.813156789558283,0.37,0.213,8.49240401736871e-114,"0","PDLIM1"
"IL4R",4.24091574689672e-118,1.40830417594602,0.302,0.167,1.55221757252167e-113,"0","IL4R"
"EBLN3P",1.50376300533221e-117,1.29867242043776,0.274,0.142,5.50392297581642e-113,"0","EBLN3P"
"PPIA",1.61479239436403e-116,0.532648324079974,0.864,0.771,5.9103016426118e-112,"0","PPIA"
"NCOA3",8.95905687734142e-115,0.667984064302588,0.451,0.296,3.27910440767573e-110,"0","NCOA3"
"SNHG29",1.68275960186541e-114,0.666837903103882,0.691,0.592,6.15906841878759e-110,"0","SNHG29"
"CD48",4.5187704324501e-114,0.779109671515603,0.524,0.356,1.65391516598106e-109,"0","CD48"
"TAF1D",1.37531288200602e-113,0.886520697494699,0.525,0.39,5.03378267943023e-109,"0","TAF1D"
"ATP2A3",2.62542116245575e-111,0.938417107793673,0.379,0.231,9.60930399670428e-107,"0","ATP2A3"
"SNHG7",4.97313108848196e-110,1.49810072647986,0.281,0.153,1.82021570969528e-105,"0","SNHG7"
"RPL23",5.5836667410542e-110,0.692866014076463,0.69,0.613,2.04367786389325e-105,"0","RPL23"
"MTSS1",2.89505543299235e-109,0.601141706448601,0.334,0.185,1.05961923902953e-104,"0","MTSS1"
"HSH2D",4.47239330736557e-109,1.25430474221838,0.305,0.175,1.63694067442887e-104,"0","HSH2D"
"EIF2S3",4.80999152082249e-109,1.01619065622471,0.449,0.316,1.76050499653624e-104,"0","EIF2S3"
"SLC25A6",1.50203353603758e-108,0.54642906472974,0.767,0.69,5.49759294525113e-104,"0","SLC25A6"
"CIRBP",2.50481841753541e-108,0.614692849093561,0.754,0.682,9.16788589002135e-104,"0","CIRBP"
"HMGN1",6.53087287656391e-106,0.700193073373446,0.588,0.459,2.39036478155116e-101,"0","HMGN1"
"GPR183",1.61534979488373e-105,0.703219413980329,0.416,0.255,5.91234178425393e-101,"0","GPR183"
"COX4I1",1.15294166457878e-104,0.504817551130029,0.814,0.742,4.21988178652479e-100,"0","COX4I1"
"PDE4B",1.5918669170702e-104,0.612900492792245,0.574,0.419,5.82639210316864e-100,"0","PDE4B"
"HNRNPA1",5.49702831976733e-104,0.492126633478293,0.786,0.735,2.01196733531804e-99,"0","HNRNPA1"
"RB1",1.42599186083275e-103,0.916506373531361,0.404,0.262,5.21927280983397e-99,"0","RB1"
"OAZ1",3.98728114697807e-103,0.456399964286016,0.849,0.772,1.45938477260544e-98,"0","OAZ1"
"CDK14",4.00605018088731e-103,0.656746437481907,0.324,0.187,1.46625442670656e-98,"0","CDK14"
"ADK",4.49824534031009e-102,0.705485836935037,0.437,0.29,1.64640277700689e-97,"0","ADK"
"LMBRD1",3.05762247285091e-98,0.948693509915098,0.407,0.275,1.11912040128816e-93,"0","LMBRD1"
"ITPR1",2.37942608411378e-97,0.775681651688798,0.35,0.208,8.70893741046484e-93,"0","ITPR1"
"SMCHD1",2.69540437279533e-97,0.337744085894859,0.663,0.544,9.8654495448682e-93,"0","SMCHD1"
"MT-ND4",3.60636748264241e-97,0.278654817586038,0.954,0.932,1.31996656232195e-92,"0","MT-ND4"
"SH3BP5",3.48749401597249e-96,0.888193943665958,0.373,0.239,1.27645768478609e-91,"0","SH3BP5"
