"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS241",3.7019597152532e-164,0.393433344272837,0.979,0.887,1.35495427537983e-159,"1","RPS24"
"UBE2L6",5.14104305526072e-164,1.16020293577952,0.435,0.261,1.88167316865598e-159,"1","UBE2L6"
"MYO1F",6.24839825438798e-164,0.926372822053624,0.38,0.19,2.28697624508855e-159,"1","MYO1F"
"GIMAP1",1.86487057961469e-163,1.2685761743474,0.264,0.108,6.82561280844772e-159,"1","GIMAP1"
"PPIA1",4.25598079186294e-163,0.395049804647322,0.921,0.765,1.55773152962976e-158,"1","PPIA"
"ACTN4",7.36681592456553e-163,0.76393082358718,0.516,0.316,2.69632829655023e-158,"1","ACTN4"
"CD481",1.352781019392e-162,0.772206771631954,0.568,0.353,4.95131380907668e-158,"1","CD48"
"ACTR3",3.48953243375008e-162,0.749052407938138,0.649,0.468,1.27720376607687e-157,"1","ACTR3"
"FXYD51",1.45582782181372e-161,0.501041544383952,0.809,0.574,5.32847541062041e-157,"1","FXYD5"
"RNF213",3.31147459107952e-161,0.586794831491453,0.643,0.434,1.21203281508101e-156,"1","RNF213"
"DBI",7.65289991018156e-161,0.738648478362229,0.588,0.406,2.80103789612555e-156,"1","DBI"
"C9orf16",2.18888109195894e-160,0.916427295724018,0.55,0.384,8.01152368467892e-156,"1","C9orf16"
"CYBA1",3.33133273953719e-160,0.483901643362783,0.878,0.657,1.21930109599801e-155,"1","CYBA"
"DYNLT1",1.77014884715395e-159,0.80330122485407,0.57,0.387,6.47892179546816e-155,"1","DYNLT1"
"ARF5",1.5402520194337e-158,0.801465003592713,0.582,0.398,5.6374764163293e-154,"1","ARF5"
"TPST2",1.72865102998897e-158,1.53947718353782,0.3,0.146,6.32703563486262e-154,"1","TPST2"
"CNBP",3.860463536319e-157,0.574558809364398,0.774,0.608,1.41296825892812e-152,"1","CNBP"
"COX6C",1.02908127874091e-155,0.563272345771005,0.741,0.559,3.76654038831962e-151,"1","COX6C"
"FERMT3",7.67550534329653e-155,0.985481907087727,0.429,0.247,2.80931171069996e-150,"1","FERMT3"
"TSTD11",8.46938559411649e-154,1.09306479578502,0.402,0.229,3.09987982130258e-149,"1","TSTD1"
"VAMP8",1.20410692823256e-153,0.70882882014035,0.533,0.329,4.40715176802399e-149,"1","VAMP8"
"CTSD",3.7869124325812e-153,0.493552370773672,0.576,0.381,1.38604781944904e-148,"1","CTSD"
"RPL33",8.78270700968882e-153,0.307926440002035,0.978,0.874,3.2145585926162e-148,"1","RPL3"
"HMGN11",6.33781821491591e-152,0.700606818270731,0.631,0.454,2.31970484484137e-147,"1","HMGN1"
"SKP1",8.34065078715219e-152,0.511400059715459,0.751,0.558,3.05276159460557e-147,"1","SKP1"
"CMTM3",1.46164272117731e-151,1.42602518580535,0.267,0.119,5.34975852378106e-147,"1","CMTM3"
"RPS121",6.34149829902053e-151,0.30274081452002,0.985,0.911,2.3210517924245e-146,"1","RPS12"
"RPSA1",1.57624445581952e-150,0.255894171957803,0.953,0.797,5.76921233274503e-146,"1","RPSA"
"UBA521",2.73474888128019e-150,0.389979160505135,0.944,0.779,1.00094543803736e-145,"1","UBA52"
"MEAF6",5.29723747291678e-150,1.20331174289848,0.393,0.23,1.93884188746227e-145,"1","MEAF6"
"PCBP21",1.00193680605571e-149,0.470978434291366,0.874,0.737,3.6671889038445e-145,"1","PCBP2"
"CCNDBP1",2.05217958869425e-149,1.21095414530005,0.375,0.211,7.51118251257983e-145,"1","CCNDBP1"
"HCP5",1.82608019251601e-148,1.22426037619583,0.298,0.14,6.68363611262784e-144,"1","HCP5"
