sample-id,absolute-filepath,direction
SRR21839487,/home/jayz/microbiome/data/raw_fastq/clean_1.fastq.gz,forward
SRR21839487,/home/jayz/microbiome/data/raw_fastq/clean_2.fastq.gz,reverse
